"Document Title",Authors,"Author Affiliations","Publication Title",Date Added To Xplore,"Publication Year","Volume","Issue","Start Page","End Page","Abstract","ISSN",ISBNs,"DOI",Funding Information,PDF Link,"Author Keywords","IEEE Terms","Mesh_Terms",Article Citation Count,Patent Citation Count,"Reference Count","License",Online Date,Issue Date,"Meeting Date","Publisher",Document Identifier
"Retrofitting-Based Development of Brownfield Industry 4.0 and Industry 5.0 Solutions","T. -A. Tran; T. Ruppert; G. Eigner; J. Abonyi","Department of Process Engineering, MTA-PE ‘Lendulet’ Complex Systems Monitoring Research Group, University of Pannonia, Veszprém, Hungary; Department of Process Engineering, MTA-PE ‘Lendulet’ Complex Systems Monitoring Research Group, University of Pannonia, Veszprém, Hungary; Physiological Controls Research Center, John von Neumann Faculty of Informatics, Biomatics and Applied Artificial Intelligence Institution, Óbuda University, Budapest, Hungary; Department of Process Engineering, MTA-PE ‘Lendulet’ Complex Systems Monitoring Research Group, University of Pannonia, Veszprém, Hungary",IEEE Access,"22 Jun 2022","2022","10","","64348","64374","The ongoing Industry 4.0 is characterized by the connectivity between components in the manufacturing system. For modern machines, the Internet of Things is a built-in function. In contrast, there are legacy machines in deployment functioning without digital communication. The need to connect them became popular to improve overall production efficiency. As building a new smart factory as a greenfield investment is a capital-intensive choice, retrofitting the existing infrastructure with IoT capability is more reasonable than replacing them. However, this so-called brownfield development, or retrofitting, requires specific prerequisites, e.g., digitization status assessment, technical and connectivity development, management requirement, and operational need, representing a significant disadvantage: lack of scalability. In the meantime, Industry 5.0 is under human-centric priority, which poses new challenges to the retrofitted system. Aware of the challenge, this paper provides a systematic overview of brownfield development regarding technical difficulties, supporting technologies, and possible applications for the legacy system. The research scope focuses on available Industry 4.0 advancements but considers preparing for the forthcoming Industry 5.0. The proposed retrofitting project approach can be a guideline for manufacturers to transform their factories into intelligent spaces with minimal cost and effort but still gain the most applicable solution for management needs. The future direction for other research in brownfield development for Industry 5.0 is also discussed.","2169-3536","","10.1109/ACCESS.2022.3182491","TKP2020-NKA-10 project with the support provided; Ministry for Innovation and Technology of Hungary from the National Research, Development and Innovation Fund, financed under the 2020 Thematic Excellence Programme funding scheme and it has been implemented(grant numbers:2020-1.1.2-PIACI-KFI-2020-00076); (Hybrid Cluster) project; ","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9794677","Brownfield development;legacy system;Industry 4.0;Industry 5.0;retrofitting;automation","Industries;Fourth Industrial Revolution;Production;Systematics;Machinery;Investment;Aging","","63","","186","CCBY","13 Jun 2022","2022","","IEEE","IEEE Journals"
"Integrating Industry 4.0 approaches into Low Voltage Grids: A Cost-Efficient Retrofit Strategy Using IoT and Edge Computing","B. Steinhagen; T. Jungh; M. Hesse","Cognitronics and Sensor Systems, Bielefeld University, Bielefeld, Germany; Cognitronics and Sensor Systems, Bielefeld University, Bielefeld, Germany; Cognitronics and Sensor Systems, Bielefeld University, Bielefeld, Germany",2024 IEEE International Humanitarian Technologies Conference (IHTC),"29 Jan 2025","2024","","","1","6","This paper presents a cost-efficient retrofit strategy for the digitalization of low voltage grids, leveraging the advancements of Industry 4.0 technologies such as Internet of Things (IoT) and edge computing. Facing the challenges of traditional grid management systems, like scalability, data processing, cybersecurity, and integration of renewable energies, this strategy proposes a practical solution to enhance grid observability. By implementing this approach in a local grid station and two cable distributors, we illustrate the potential for significant improvements in grid management, including real-time monitoring of power consumption and energy feedback. The findings underscore the transformative impact of digital technologies on the energy sector, offering insights into the future of grid management and the integration of renewable energy sources. This study contributes to the evolving discourse on grid digitalization, providing a framework for deploying IoT and edge computing in low voltage grids to achieve a more sustainable and efficient energy future.","2837-4800","979-8-3503-5464-5","10.1109/IHTC61819.2024.10855009","Ministry of Education; ","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10855009","Industry 4.0;Internet of Things;Edge computing;Power grids","Low voltage;Renewable energy sources;Technological innovation;Power demand;Scalability;Real-time systems;Fourth Industrial Revolution;Internet of Things;Observability;Edge computing","","1","","19","IEEE","29 Jan 2025","27-30 Nov. 2024","27-30 Nov. 2024","IEEE","IEEE Conferences"
"Concepts for Retrofitting Industrial Programmable Logic Controllers for Industrie 4.0 Scenarios","B. Rupprecht; E. Trunzer; S. König; B. Vogel-Heuser","Institute of Automation and Information Systems, Technical University of Munich, Germany; Institute of Automation and Information Systems, Technical University of Munich, Germany; Institute of Automation and Information Systems, Technical University of Munich, Germany; Institute of Automation and Information Systems, Technical University of Munich, Germany",2021 22nd IEEE International Conference on Industrial Technology (ICIT),"18 Jun 2021","2021","1","","1034","1041","In the course of the fourth industrial revolution, companies are facing considerable challenges, such as retrofitting and integrating existing, mission-critical automated production systems (aPS) into new interconnected environments. To integrate the production data from aPS and to make it available for data analysis and plant monitoring, relevant data from the programmable logic controller (PLC) of each aPS needs to be accessed and forwarded. These PLCs, at a first priority, control the production plants and ensure reliable production. Due to the long life-cycles of aPS of around 30 years, a huge number of legacy PLCs with limited processing and communication capabilities exists in the field. Therefore, retrofitting concepts that aim to allow access to PLC data need to account for this special, mission-critical role of PLCs. In the context of PLC retrofitting approaches, research currently addresses two domains: on the one hand, abstract Industrie 4.0 architectures are proposed that lack of implementation details. On the other hand, specific retrofitting concepts are presented, which are usually not transferable to other application purposes. Hence, this work aims to fill this gap by deriving generally applicable retrofitting strategies for legacy PLCs for data collection. Five technology-neutral retrofitting concepts based on industrially relevant use-cases were proposed. Three concepts were substantiated on an exemplary basis and their validity shown within a proof-of-concept. Altogether, this work can act as a guideline for retrofitting automation technology to facilitate the integration of legacy systems in Industrie 4.0 scenarios.","","978-1-7281-5730-6","10.1109/ICIT46573.2021.9453558","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9453558","Cyber-Physical Systems of Systems;Data Collection;Industrial Internet of Things;Industry 4.0;Programmable Logic Controller (PLC);PLC Retrofitting","Industries;Production systems;Protocols;Scalability;Programmable logic devices;Mission critical systems;Companies","","9","","17","IEEE","18 Jun 2021","10-12 March 2021","10-12 March 2021","IEEE","IEEE Conferences"
"A feasibility study on regeneration capture on a seaport electrified gantry crane","M. Short; F. Hassan; A. Kidd; F. Amrouche; E. Segovia; D. Coleman; M. Walker","Teesside University, Middlesbrough, UK; GE Energy Power Conversion UK Ltd., Rugby, UK; Teesside University, Middlesbrough, UK; Teesside University, Middlesbrough, UK; Teesside University, Middlesbrough, UK; PD Ports, Middlesbrough, UK; PD Ports, Middlesbrough, UK","2022 26th International Conference on Circuits, Systems, Communications and Computers (CSCC)","23 Jan 2023","2022","","","196","203","Recent estimates indicate that roughly 80% of worldwide freight is carried at sea. With shipping and cargo handling responsible for at least 2.5% of annual carbon emissions, the maritime sector poses fertile ground for carbon reductions. This paper focuses on the use of Digital Twins for analyzing and optimizing energy consumption related to cargo handling in a seaport. Specifically, the paper focuses upon data-driven modelling and ‘what-if’ analysis to quantify the potential of energy regeneration capture in a seaport electrified gantry crane used for cargo handling. The crane, located in Middlesbrough, UK was modelled using real-time sensor and control system data on electricity consumption, position, velocity, and driver commands. Mean average modelling errors of less than 1 % were obtained. The dynamic model was deployed for exploration of regeneration capture from lifting operations using a simulated Active Front End (AFE) of power electronics and batteries. Using calibrated simulations, data from a cargo handling system and historical annual consumption data, the paper provides estimates of the potential energy savings for three existing electrified cranes of approximately 420 MWh per year. Using conservative estimates of 40% reclamation of energy for all hoist lifting operations, obtained via a simplified static model, further potentially significant savings are suggested to be possible through the retrofitting of additional diesel cranes.","","978-1-6654-8186-1","10.1109/CSCC55931.2022.00041","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10017991","Energy consumption;gantry cranes;regeneration capture;power electronics;cargo handling;digital twins;data analytics","Potential energy;Energy consumption;Cranes;Carbon dioxide;Seaports;Data models;Real-time systems","","5","","14","IEEE","23 Jan 2023","19-22 July 2022","19-22 July 2022","IEEE","IEEE Conferences"
"Enabling IoT connectivity for ModbusTCP sensors","T. John; M. Vorbröcker","Convergent Infrastructures, Fraunhofer Institute for Factory Operation and Automation IFF, Magdeburg, Germany; Convergent Infrastructures, Fraunhofer Institute for Factory Operation and Automation IFF, Magdeburg, Germany",2020 25th IEEE International Conference on Emerging Technologies and Factory Automation (ETFA),"5 Oct 2020","2020","1","","1339","1342","This work in progress paper presents an architecture for an IoT gateway that can be seamlessly integrated into an industrial setting running older generations PLCs to enable IoT connectivity and data analytics for sensors to applications with minimal setup. Internet of Things (IoT) is a major paradigm of Industry 4.0 where cyber-physical systems are connected to the Internet. By integrating the measurement data from sensors into an IoT environment, more value can be derived from the data through advanced analytics using machine learning or deep learning. At present, most of the sensors in industrial plants are connected to Programmable Logic Controllers (PLCs). To enable IoT connectivity for sensors connected to PLCs, the controller often needs to be retrofitted with IoT gateways, especially in the case of older generation PLCs. The cost of retrofitting older generation PLCs with IoT gateways and the extensive configuration and setup required to use the sensor data in running environments can prevent industries and factories from utilizing the benefits of IoT. The presented architecture addresses these issues by describing an approach to capture sensor data from PLCs through Modbus protocol, transform the data into an IoT communication standard and provides contextual information of data sources on demand to enable plug and play IoT connectivity. A method to store, process and visualize the sensor data is also presented. Finally, a prototypical implementation of the presented architecture and method is introduced.","1946-0759","978-1-7281-8956-7","10.1109/ETFA46521.2020.9211999","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9211999","Internet of Things;Industry 4.0;sensor network;Modbus IoT gateway;data source integration;interoperability","Protocols;Soft sensors;Programmable logic devices;Transforms;Logic gates;Sensor phenomena and characterization;Sensors","","9","","14","IEEE","5 Oct 2020","8-11 Sept. 2020","8-11 Sept. 2020","IEEE","IEEE Conferences"
"Conventional Approach versus State-of-Charge Feedback for Lithium Titanate Battery Cell Charging – A Comparative Simulation Study","D. Pavković; K. Kvaternik; Z. Kljaić; M. Cipek","Faculty of Mechanical Engineering and Naval Architecture, University of Zagreb, Zagreb, Croatia; AVL-AST d.o.o., Zagreb, Croatia; Ericsson Nikola Tesla d.d., Zagreb, Croatia; Faculty of Mechanical Engineering and Naval Architecture, University of Zagreb, Zagreb, Croatia",2024 47th MIPRO ICT and Electronics Convention (MIPRO),"28 Jun 2024","2024","","","1920","1925","Lithium-titanate currently represents state-of-the-art technology in lithium secondary batteries that is characterized by exceptional thermal stability and operational safety levels. This makes them particularly interesting for highly demanding stationary energy storage applications. In practical field operations, minimizing the recharging time from a partially discharged state is often crucial, while still adhering to technological constraints such as battery terminal voltage and continuous charging current. To address this, the present work outlines the design of a dynamic battery charging system, leveraging state-of-charge estimation obtained from a nonlinear state estimator, specifically an extended Kalman filter (EKF). The above approach is used to enhance the conventional constant-current/constant-voltage charging system, which traditionally relies solely on battery voltage feedback. To evaluate the novel charging system performance, a comparative analysis is conducted through extensive simulations employing the nonlinear equivalent circuit model of the lithium titanate battery cell. The presented mathematical model can be successfully used in the design of digital twins of battery systems to augment the related charging strategies for electric vehicles (EVs) through straightforward retrofitting.","2623-8764","979-8-3503-8250-1","10.1109/MIPRO60963.2024.10569463","European Regional Development Fund; ","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10569463","lithium titanate cell;equivalent circuit model;state-of-charge estimator;digital twin;simulations","Analytical models;Benchmark testing;Lithium;Mathematical models;Batteries;Titanium compounds;Integrated circuit modeling","","","","18","IEEE","28 Jun 2024","20-24 May 2024","20-24 May 2024","IEEE","IEEE Conferences"
"Development and Integration of an Industrial Automation System based on the MQTT Protocol","S. Yolov; G. Hristov; P. Zahariev","Department of Telecommunications, University of Ruse ""Angel Kanchev"", Ruse, Bulgaria; Department of Telecommunications, University of Ruse ""Angel Kanchev"", Ruse, Bulgaria; Department of Telecommunications, University of Ruse ""Angel Kanchev"", Ruse, Bulgaria","2025 Joint International Conference on Digital Arts, Media and Technology with ECTI Northern Section Conference on Electrical, Electronics, Computer and Telecommunications Engineering (ECTI DAMT & NCON)","15 Apr 2025","2025","","","79","84","Industry 4.0 is a complex term used to describe the digital transformation of the manufacturing and industrial systems. It emphasizes connectivity, automation and real-time data integration. The Message Queuing Telemetry Transport (MQTT) protocol is one of the main driving forces behind this transformation. It is a lightweight, publish-subscribe messaging standard designed for efficient communications in the Industrial Internet of Things (IIoT) environments. The MQTT protocol provides seamless connectivity between diverse industrial devices, ensuring efficient data collection, transmission and integration with minimal network overhead. The MQTT gateways are among the key elements in the modern industrial automation applications and processes, but they also can bridge the legacy industrial systems and the advanced modern IIoT platforms. This is done by the translation of the traditional protocol data units into MQTT messages, which transforms the legacy systems into Industry 4.0-compliant solutions. The MQTT broker, acting as a central hub in the communication ecosystem, manages the message distribution among all connected devices, ensuring data availability for the analytical, monitoring and decision-making systems. At the present moment of time, this architecture is enabling scalable, interoperable and real-time data exchange, driving efficiency, predictive maintenance and smarter industrial operations in the era of Industry 4.0. This paper presents the design, development and integration of a sophisticated modern industrial automation system, which is based on MQTT and is representing the essence of the Industry 4.0 paradigm.","2768-4644","979-8-3315-4327-3","10.1109/ECTIDAMTNCON64748.2025.10962086","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10962086","Industrial automation;Industry 4.0;Industrial Internet of Things;MQTT","Protocols;Translation;Transforms;Publish-subscribe;Real-time systems;Fourth Industrial Revolution;Telemetry;Sustainable development;Standards;Industrial Internet of Things","","3","","21","IEEE","15 Apr 2025","29 Jan.-1 Feb. 2025","29 Jan.-1 Feb. 2025","IEEE","IEEE Conferences"
"Analyzing Microservice Communication Performance in Industrial Edge Platform","R. P. Pontarolli; M. Gaffurini; E. P. Godoy; P. Ferrari","Electrical Engineering Department, São Paulo State University (Unesp), Bauru, Brazil; Information Engineering Department, University of Brescia (UNIBS), Brescia, Italy; Electrical Engineering Department, São Paulo State University (Unesp), Sorocaba, Brazil; Information Engineering Department, University of Brescia (UNIBS), Brescia, Italy",IEEE Access,"30 Sep 2025","2025","13","","167744","167755","The integration of legacy manufacturing systems into Industry 4.0 ecosystems necessitates architectures that balance interoperability and performance across infrastructures. This paper addresses these challenges by proposing a hybrid system leveraging Docker containers, the Moleculer framework, and the Asset Administration Shell (AAS) to enable semantic interoperability while quantifying communication latencies in bidirectional industrial workflows, analyzing microservice communication performance in edge platforms through a hybrid architecture that combines legacy protocols with edge virtualization, and contextualizing it against fieldbus-based systems and fully virtualized containerized microservices. Experimental validation on a Siemens S7-1500 Programmable Logic Controller (PLC) evaluates latency distributions across architectures, revealing average round-trip times of 7.23 ms for hybrid sensor updates and 5.94 ms for virtualized command writes, with 75% of operations under 10 ms. Performance tradeoffs emerge between protocol translation overhead in hybrid systems and transporter-induced variability in virtual deployments. By correlating temporal metrics with architectural choices, this work provides actionable insights for modernizing brownfield installations, enabling manufacturers to select optimal strategies based on legacy constraints and real-time requirements. The results highlight the viability of gradual migration paths, preserving existing investments while adopting Industry 4.0 capabilities through performance-aware microservice orchestration.","2169-3536","","10.1109/ACCESS.2025.3612701","São Paulo Research Foundation (FAPESP)(grant numbers:2020/09850-0,2024/21954-7); Coordenação de Aperfeiçoamento de Pessoal de Nível Superior (CAPES), Brazil(grant numbers:001); ","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=11175134","Industrial edge computing;communication;legacy system integration;hybrid architectures;virtualized systems;latency analysis;Docker containers;asset administration shell","Computer architecture;Microservice architectures;Protocols;Virtualization;Fourth Industrial Revolution;Machine-to-machine communications;Reactive power;Process control;Aging;Semantics","","","","51","CCBY","22 Sep 2025","2025","","IEEE","IEEE Journals"
"A Hybrid Architecture for an Autonomous Maritime Water-Taxi Fleet","J. Lange; P. Schweizer; G. Al-Falouji; C. Krupitzer; S. Tomforde","Kiel University, Germany; University of Hohenheim, Germany; Kiel University, Germany; University of Hohenheim, Germany; Kiel University, Germany",2025 IEEE International Conference on Autonomic Computing and Self-Organizing Systems Companion (ACSOS-C),"11 Nov 2025","2025","","","100","105","Autonomous water-taxi fleets operating in dynamic coastal environments face complex coordination challenges, including fluctuating passenger demand, environmental disturbances, and the need for fair, efficient service delivery. To address these demands, this paper proposes a hybrid self-adaptive and self-organizing architecture that combines centralized planning with decentralized decision-making, enabling water-taxis to respond to local conditions while maintaining system-wide coordination. This paper identifies and investigates four central research challenges: evaluating the system's performance, the implementation of a hybrid architecture tailored to the swarm-fleet maritime infrastructure, the system's ability to maintain robust operation under disturbances, and its seamless integration with existing port and transportation infrastructures. The proposed approach contributes to advancing adaptive maritime mobility systems capable of safe, efficient, and responsive service delivery even under highly dynamic environmental and operational conditions.","","979-8-3315-0215-7","10.1109/ACSOS-C66519.2025.00036","Deutsche Forschungsgemeinschaft(grant numbers:516601628); ","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=11217521","Swarm Fleet Infrastructure;Autonomous Vessel;Hybrid Coordination;System-of-Systems","Symbiosis;Learning systems;System performance;Decision making;Sea measurements;Computer architecture;Seaports;Strategic planning;Real-time systems;Optimization","","","","25","IEEE","11 Nov 2025","29 Sept.-3 Oct. 2025","29 Sept.-3 Oct. 2025","IEEE","IEEE Conferences"
"Designing a dynamic platform for the next generation of multi-modal logistics","R. C. Bello; A. Gavrielides; N. Q. Luong; G. Ayfantopoulou; S. Dais; K. Batzou; O. Manos; G. Lilli; J. F. Escagüés; A. Enríquez Manilla; J. M. Corell; G. Sandiás Corbillón; S. Stefanescu; A. L. Marcu; N. Capbun; G. Suciu; S. Barmpounakis; G. Koutantos; P. Demestichas; J. Marquez-Barja","IDLab-Faculty of Applied Engineering, University of Antwerp-Imec, Antwerp, Belgium; IDLab-Faculty of Applied Engineering, University of Antwerp-Imec, Antwerp, Belgium; IDLab-Faculty of Applied Engineering, University of Antwerp-Imec, Antwerp, Belgium; Centre for Research & Technology Hellas/Hellenic Institute of Transport, Thessaloniki, Greece; Centre for Research & Technology Hellas/Hellenic Institute of Transport, Thessaloniki, Greece; Centre for Research & Technology Hellas/Hellenic Institute of Transport, Thessaloniki, Greece; WINGS ICT Solutions S.A., Athens, Greece; eBOS Technologies Ltd., Nicosia, Cyprus; Fundación Valenciaport, Valencia, Spain; Fundación Valenciaport, Valencia, Spain; Terminal Industry Committee 4.0, Madrid, Spain; Terminal Industry Committee 4.0, Madrid, Spain; BEIA Consult International, Bucharest, Romania; Danubius University, Galati, Romania; BEIA Consult International, Bucharest, Romania; BEIA Consult International, Bucharest, Romania; WINGS ICT Solutions S.A., Athens, Greece; WINGS ICT Solutions S.A., Athens, Greece; WINGS ICT Solutions S.A., Athens, Greece; IDLab-Faculty of Applied Engineering, University of Antwerp-Imec, Antwerp, Belgium",2024 Joint European Conference on Networks and Communications & 6G Summit (EuCNC/6G Summit),"19 Jul 2024","2024","","","1102","1108","The FOR-FREIGHT (Flexible, multi-mOdal and Robust FREIGHt Transport) project represents a pioneering initiative aimed at revolutionizing multimodal logistics by optimizing transport capacity and enhancing sustainability and efficiency. This paper delves into the project's overarching objectives, methodologies, and anticipated impacts. With a primary focus on developing innovative solutions seamlessly integrated into existing logistics systems, FOR-FREIGHT strives to diminish the average cost of freight transport. The project's unique approach encompasses a comprehensive, end-to-end optimization of multimodal logistics services, addressing challenges prevalent in airports, ports, inland terminals, and logistics nodes. Central to FOR-FREIGHT's success is the creation of a cloud-based platform, combining IoT, AI/ML, and Big Data Management, designed to streamline logistics processes and facilitate decision-making. The paper also emphasizes the integration of legacy systems, ensuring the project's applicability to real-world scenarios. Furthermore, FOR-FREIGHT envisions an open marketplace and standardized interfaces, fostering collaboration and interoperability across diverse stakeholders. As the project advances, it promises to not only redefine multimodal logistics practices but also contribute to the establishment of sustainable and efficient standards within the industry.","2575-4912","979-8-3503-4499-8","10.1109/EuCNC/6GSummit60053.2024.10597059","European Commission; ","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10597059","Transport & Logistics;AI;Solvers;multi-modal transport","Industries;Technological innovation;Collaboration;Transforms;Aging;Aerodynamics;Stakeholders","","2","","4","IEEE","19 Jul 2024","3-6 June 2024","3-6 June 2024","IEEE","IEEE Conferences"
"CPSWatch: Lightweight Ontology for System Description and Diagnosis","B. Ludwig; M. Maleshkova; O. Niggemann","Helmut-Schmidt-University, Hamburg, Germany; Helmut-Schmidt-University, Hamburg, Germany; Helmut-Schmidt-University, Hamburg, Germany",2025 IEEE 30th International Conference on Emerging Technologies and Factory Automation (ETFA),"21 Oct 2025","2025","","","1","8","The rapid evolution and continuously growing complexity of cyber-physical systems (CPS), ranging from Industry 4.0 production plants to ship drivetrains and building monitoring, have led to the abundant generation of heterogeneous, poorly-structured, and not standardized data. This situation is further aggravated by retrofitting legacy systems with new sensors for the purpose of data-driven monitoring. In this paper, we introduce Cyber-Physical System Watch (CPSWatch), a lightweight framework that aims to support the monitoring of CPS including the possibility for diagnosis, encompassing a high-level ontology, two sample datasets of different complexity as well as a use case scenario on how it can be applied. Our proposed ontology provides a unified framework for describing data across different CPS applications and aligns with OPC UA, ensuring its general applicability in modern industrial settings. CPSWatch is evaluated in terms of standard ontology evaluation measures, within the scope of condition monitoring of an automation system in the maritime domain and a benchmark in the field of process engineering.","1946-0759","979-8-3315-5383-8","10.1109/ETFA65518.2025.11205604","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=11205604","ontology;cyber-physical system;condition monitoring;diagnosis","Condition monitoring;Production;Ontologies;Cyber-physical systems;Sensor systems;Complexity theory;Sensors;Marine vehicles;Monitoring;Standards","","","","41","IEEE","21 Oct 2025","9-12 Sept. 2025","9-12 Sept. 2025","IEEE","IEEE Conferences"
"Meeting Demands for Mass Customization: A Hybrid Organic Computing Approach","T. Seidelmann; J. Weise; S. Mostaghim","Faculty of Computer Science, University of Magdeburg, Germany; Faculty of Computer Science, University of Magdeburg, Germany; Faculty of Computer Science, University of Magdeburg, Germany",2021 IEEE Symposium Series on Computational Intelligence (SSCI),"24 Jan 2022","2021","","","1","8","The manufacturing landscape is experiencing a trend towards mass customization of products as customer demands continue to rise. Product life cycles are becoming shorter, while order fluctuations resulting from small lot-sizes increase. Traditional manufacturing lines, designed to produce high quantities of identical products, are ill-equipped to face the new challenges. While the paradigms are shifting, adoption of modern technologies for dynamic and flexible shop floor designs, such as cyber-physical systems and multi-agent systems, remains low. A clear pathway towards reconfiguring legacy systems stepwise is missing, and the new technologies are not yet established enough. We aim to alleviate these problems by introducing a novel, general simulation framework, developed with partners from the industry, for evaluation of manufacturing system designs. We highlight the usage of this framework by applying an online optimization model, utilizing techniques from organic computing, to optimize order and task prioritization in a hypothetical minimal modular smartphone production scenario. Our experiments show that the usage of an independent ob-server/controller structure is suited to solving these problems. The outlined scenario and optimization procedure can be extended to cover real-life manufacturing systems of much greater complexity within the provided framework.","","978-1-7281-9048-8","10.1109/SSCI50451.2021.9659946","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9659946","manufacturing systems;online optimization;job-shop scheduling;organic computing;observer/controller","Mass customization;Manufacturing processes;Processor scheduling;Computational modeling;Production;Complexity theory;Workstations","","2","","32","IEEE","24 Jan 2022","5-7 Dec. 2021","5-7 Dec. 2021","IEEE","IEEE Conferences"
"On Traffic Classification in Enterprise Wireless Networks","S. Behera; B. Panigrahi; H. K. Rath; J. Karjee","TCS Research and Innovation, INDIA; TCS Research and Innovation, INDIA; TCS Research and Innovation, INDIA; TCS Research and Innovation, INDIA",2021 National Conference on Communications (NCC),"13 Sep 2021","2021","","","1","6","Enterprises today are quickly adopting intelligent, adaptive, and flexible wireless communication technologies in order to become compliant with Industry 4.0. One of the technological challenges related to this is to provide Quality of Services (QoS)-enabled network connectivity to the applications. Diverse QoS demands from the applications intimidate the underlying wireless networks to be agile and adaptive. Since the applications are diverse in nature, there must be a mechanism to learn the application types in near real-time so that the network can be provisioned accordingly. In this paper, we propose a Machine Learning (ML) based method to classify the application traffic. Our method is different from the existing port based and Deep Packet Inspection (DPI) based methods and uses statistical features of the network traffic related to the applications. We validate the performance of the proposed model in a lab based SDNized WiFi set-up. SDNization ensures that the proposed model can be deployed in practice.","","978-1-6654-4177-3","10.1109/NCC52529.2021.9530062","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9530062","","Adaptive systems;5G mobile communication;Wireless networks;Quality of service;Telecommunication traffic;Machine learning;Inspection","","","","17","IEEE","13 Sep 2021","27-30 July 2021","27-30 July 2021","IEEE","IEEE Conferences"
